_id.lang,_id.totalViews,value
"ar",-56.0,"%D9%85%D8%B9%D9%85%D8%B1_%D8%A7%D9%84%D9%82%D8%B0%D8%A7%D9%81%D9%8A"
"ar",-53.0,"%D8%A8%D8%A7%D8%B3%D9%85_%D9%8A%D9%88%D8%B3%D9%81"
"ar",-52.0,"%D9%8A%D8%A7%D8%B1%D8%A7_(%D9%85%D8%BA%D9%86%D9%8A%D8%A9)"
"ar",-51.0,"%D8%A7%D9%84%D8%B4%D9%8A%D8%B9%D8%A9"
"ar",-50.0,"%D8%A7%D9%84%D9%88%D9%84%D8%A7%D9%8A%D8%A7%D8%AA_%D8%A7%D9%84%D9%85%D8%AA%D8%AD%D8%AF%D8%A9"
"ar",-48.0,"%D8%A5%D8%B3%D9%84%D8%A7%D9%85"
"ar",-47.0,"%D8%AA%D8%B4%D9%8A_%D8%AC%D9%8A%D9%81%D8%A7%D8%B1%D8%A7"
"ar",-46.0,"%D8%AD%D8%B3%D8%AF"
"ar",-45.0,"%D8%B8%D8%A7%D9%87%D8%B1%D8%A9_2012"
"ar",-44.0,"%D8%A7%D9%84%D9%82%D9%88%D8%A7%D8%AA_%D8%A7%D9%84%D9%85%D8%B3%D9%84%D8%AD%D8%A9_%D8%A7%D9%84%D9%85%D8%B5%D8%B1%D9%8A%D8%A9"
"ar",-43.0,"%D8%A7%D9%84%D8%B1%D8%B3%D9%88%D9%85_%D8%A7%D9%84%D9%83%D8%A7%D8%B1%D9%8A%D9%83%D8%A7%D8%AA%D9%88%D8%B1%D9%8A%D8%A9_%D8%A7%D9%84%D9%85%D8%B3%D9%8A%D8%A6%D8%A9_%D9%84%D9%85%D8%AD%D9%85%D8%AF_%D9%81%D9%8A_%D8%B5%D8%AD%D9%8A%D9%81%D8%A9_%D9%8A%D9%88%D9%84%D8%A7%D9%86%D8%AF%D8%B3_%D8%A8%D9%88%D8%B3%D8%AA%D9%86"
"ar",-42.0,"%D8%AA%D8%B1%D9%83%D9%8A%D8%A7"
"ar",-41.0,"%D8%AA%D9%82%D9%88%D9%8A%D9%85_%D9%85%D9%8A%D9%84%D8%A7%D8%AF%D9%8A"
"ar",-39.0,"%D8%A5%D8%B3%D8%B1%D8%A7%D8%A6%D9%8A%D9%84"
"ar",-37.0,"%D8%A7%D9%84%D9%8A%D9%85%D9%86"
"ar",-36.0,"%D8%A7%D9%84%D8%AC%D8%B2%D8%A7%D8%A6%D8%B1"
"ar",-35.0,"%D8%A3%D8%AD%D9%85%D8%AF_%D8%AF%D9%8A%D8%AF%D8%A7%D8%AA"
"ar",-34.0,"%D8%A7%D9%84%D9%88%D9%84%D9%8A%D8%AF_%D8%A8%D9%86_%D8%B7%D9%84%D8%A7%D9%84_%D8%A8%D9%86_%D8%B9%D8%A8%D8%AF_%D8%A7%D9%84%D8%B9%D8%B2%D9%8A%D8%B2_%D8%A2%D9%84_%D8%B3%D8%B9%D9%88%D8%AF"
"ar",-33.0,"%D8%A2%D9%8A%D8%A9_%D8%A7%D9%84%D9%83%D8%B1%D8%B3%D9%8A"
"ar",-32.0,"%D8%A3%D9%85_%D9%83%D9%84%D8%AB%D9%88%D9%85_(%D9%85%D8%B7%D8%B1%D8%A8%D8%A9)"
"ar",-31.0,"%D8%A3%D8%AD%D9%85%D8%AF_%D8%AD%D8%B1%D8%A7%D8%B1%D8%A9"
"ar",-30.0,"%D8%A3%D8%B1%D9%88%D8%A8%D8%A7"
"ar",-29.0,"%D8%AC%D8%AF%D8%A9"
"ar",-28.0,"%D8%A3%D8%AD%D9%85%D8%AF_%D8%AD%D9%84%D9%85%D9%8A_(%D9%85%D9%85%D8%AB%D9%84)"
"ar",-27.0,"%D8%A3%D8%B3%D8%A7%D9%85%D8%A9_%D8%A8%D9%86_%D9%84%D8%A7%D8%AF%D9%86"
"ar",-26.0,"%D8%A3%D9%83%D8%B1%D8%A7%D8%AF"
"ar",-25.0,"%D8%A7%D9%84%D8%AD%D8%B3%D9%8A%D9%86_%D8%A8%D9%86_%D8%B9%D9%84%D9%8A_%D8%A8%D9%86_%D8%A3%D8%A8%D9%8A_%D8%B7%D8%A7%D9%84%D8%A8"
"ar",-24.0,"%D8%A3%D8%AF%D9%88%D9%84%D9%81_%D9%87%D8%AA%D9%84%D8%B1"
"ar",-23.0,"%D8%A3%D8%A8%D9%88_%D8%A7%D9%84%D8%B7%D9%8A%D8%A8_%D8%A7%D9%84%D9%85%D8%AA%D9%86%D8%A8%D9%8A"
"ar",-22.0,"%D8%A3%D8%B4%D8%B9%D8%B1%D9%8A%D8%A9"
"ar",-21.0,"%D8%A5%D9%84%D9%8A%D8%B3%D8%A7"
"ar",-20.0,"%D8%A3%D8%B3%D8%AF"
"ar",-19.0,"%D8%A2%D9%8A_%D9%81%D9%88%D9%86"
"ar",-18.0,"%D8%A7%D8%A8%D9%86_%D8%AA%D9%8A%D9%85%D9%8A%D8%A9"
"ar",-17.0,"%D8%A3%D8%A8%D9%88_%D8%B3%D8%A7%D8%B1%D8%A9_%D9%81%D9%8A_%D8%A7%D9%84%D8%B9%D9%85%D8%A7%D8%B1%D8%A9_(%D9%85%D8%B3%D8%B1%D8%AD%D9%8A%D8%A9)"
"ar",-16.0,"%D8%A3%D8%AD%D9%85%D8%AF_%D8%B5%D8%A7%D9%84%D8%AD_(%D8%AA%D9%88%D8%B6%D9%8A%D8%AD)"
"ar",-15.0,"%D8%A2%D8%B1_%D8%A5%D9%85_%D8%A5%D8%B3_%D8%AA%D9%8A%D8%AA%D8%A7%D9%86%D9%8A%D9%83"
"ar",-14.0,"%D8%A3%D8%AD%D9%85%D8%AF_%D8%B9%D8%B2_(%D9%85%D9%85%D8%AB%D9%84)"
"ar",-13.0,"%D8%A3%D8%AD%D9%85%D8%AF_%D8%B4%D9%88%D9%82%D9%8A"
"ar",-12.0,"%D8%A2%D9%81%D8%B1%D9%8A%D9%84_%D9%84%D8%A7%D9%81%D9%8A%D9%86"
"ar",-11.0,"%D8%A3%D8%A8%D9%84"
"ar",-10.0,"%D8%A3%D8%A8%D9%88_%D8%A7%D9%84%D8%B9%D9%84%D8%A7%D8%A1_%D8%A7%D9%84%D9%85%D8%B9%D8%B1%D9%8A"
"ar",-9.0,"%25D8%25A7%25D9%2584%25D8%25B5%25D9%2581%25D8%25AD%25D8%25A9_%25D8%25A7%25D9%2584%25D8%25B1%25D8%25A6%25D9%258A%25D8%25B3%25D9%258A%25D8%25A9"
"ar",-8.0,"%D8%A3%D8%A8%D9%88_%D8%A7%D9%84%D9%82%D8%A7%D8%B3%D9%85_%D8%A7%D9%84%D8%B4%D8%A7%D8%A8%D9%8A"
"ar",-7.0,"%D8%A2%D8%AF%D9%85_(%D9%85%D8%B3%D9%84%D8%B3%D9%84)"
"ar",-6.0,"%C3%99%C2%85%C3%99%C2%8A%C3%98%C2%B4%C3%99%C2%8A%C3%98%C2%BA%C3%98%C2%A7%C3%99%C2%86"
"ar",-5.0,"%D8%A2%D8%B1%D8%B3%D9%86%D8%A7%D9%84"
"ar",-4.0,"%C3%98%C2%AD%C3%99%C3%98%C2%AF%C3%98%C2%A7%C3%99_%C3%98%C2%A8%C3%99_%C3%99%C3%98%C2%AD%C3%99%C3%98%C2%AF_%C3%98%C2%A8%C3%99_%C3%98%C2%B1%C3%98%C2%A7%C3%98%C2%B4%C3%98%C2%AF_%C3%98%C2%A2%C3%99_%C3%99%C3%99%C3%98%C2%AA%C3%99%C3%99"
"ar",-3.0,"%252525252525252525D8%252525252525252525A7%252525252525252525D9%25252525252525252584%252525252525252525D8%252525252525252525A5%252525252525252525D8%252525252525252525AE%252525252525252525D9%25252525252525252588%252525252525252525D8%252525252525252525A7%252525252525252525D9%25252525252525252586_%252525252525252525D8%252525252525252525A7%252525252525252525D9%25252525252525252584%252525252525252525D9%25252525252525252585%252525252525252525D8%252525252525252525B3%252525252525252525D9%25252525252525252584%252525252525252525D9%25252525252525252585%252525252525252525D9%25252525252525252588%252525252525252525D9%25252525252525252586_%252525252525252525D9%25252525252525252581%252525252525252525D9%2525252525252525258A_%252525252525252525D8%252525252525252525A5%252525252525252525D9%2525252525252525258A%252525252525252525D8%252525252525252525B1%252525252525252525D8%252525252525252525A7%252525252525252525D9%25252525252525252586"
"ar",-2.0,"%2525252525252525252525252525252525D8%2525252525252525252525252525252525A5%2525252525252525252525252525252525D8%2525252525252525252525252525252525A8%2525252525252525252525252525252525D8%2525252525252525252525252525252525B1%2525252525252525252525252525252525D8%2525252525252525252525252525252525A7%2525252525252525252525252525252525D9%252525252525252525252525252525252587%2525252525252525252525252525252525D9%25252525252525252525252525252525258A%2525252525252525252525252525252525D9%252525252525252525252525252525252585_%2525252525252525252525252525252525D9%252525252525252525252525252525252585%2525252525252525252525252525252525D8%2525252525252525252525252525252525B1%2525252525252525252525252525252525D8%2525252525252525252525252525252525AF%2525252525252525252525252525252525D9%252525252525252525252525252525252588%2525252525252525252525252525252525D8%2525252525252525252525252525252525AE%2525252525252525252525252525252525D9%25252525252525252525252525252525258A"
"ar",-1.0,"%20%D8%A7%D8%A6%D9%81%D8%A9"
"arc",-4.0,"%DC%A6%DC%90%DC%AC%DC%90_%DC%AA%DC%9D%DC%AB%DC%9D%DC%AC%DC%90"
"arc",-3.0,"%DC%92%DC%AA_%DC%90%DC%A2%DC%AB%DC%90"
"arc",-2.0,"%DC%90%DC%98%DC%9A%DC%95%DC%A2%DC%90_%DC%A1%DC%9A%DC%9D%DC%95%DC%90"
"arc",-1.0,"%D9%81"
"arz",-92.0,"arz"
"arz",-60.0,"%D9%85%D9%86%D9%89_%D8%A7%D9%84%D8%B3%D8%B9%D9%8A%D8%AF"
"arz",-25.0,"%D8%B3%D9%83%D8%B3"
"arz",-22.0,"%D8%A7%D9%84%D8%B5%D9%81%D8%AD%D9%87_%D8%A7%D9%84%D8%B1%D8%A6%D9%8A%D8%B3%D9%8A%D9%87"
"arz",-9.0,"%D8%A7%D8%B0%D9%8A%D8%B1%D8%A8%D8%A7%D9%8A%D8%AC%D8%A7%D9%86"
"arz",-8.0,"%D8%A7%D9%85%D9%8A%D9%86%D9%87_%D8%B1%D8%B2%D9%82"
"arz",-7.0,"%D8%A8%D8%A7%D9%83%D9%88"
"arz",-6.0,"%D8%AA%D8%A7%D9%8A%D9%84%D8%B1_%D9%81%D9%8A%D8%AB"
"arz",-5.0,"%D8%A7%D9%84%D8%AE%D9%84%D9%8A%D8%AC_%D8%A7%D9%84%D9%81%D8%A7%D8%B1%D8%B3%D9%89"
"arz",-4.0,"%D8%A3%D9%88%D9%84%D9%8A%D9%81%D9%8A%D8%A7_%D8%A3%D9%88_%D9%84%D8%A7%D9%81%D9%84%D9%89"
"arz",-3.0,"%D8%A3%D8%B9%D9%8A%D8%A7%D8%AF_%D8%A7%D9%84%D9%85%D8%B3%D9%8A%D8%AD%D9%8A%D9%8A%D9%86_%D8%A7%D9%84%D9%85%D8%B5%D8%B1%D9%8A%D9%8A%D9%86"
"arz",-2.0,"%D8%A2%D8%A8%D9%89_%D8%A8%D8%B1%D9%88%D9%83%D8%B3"
"arz",-1.0,"%C3%85"
"as",-10.0,"as"
"as",-7.0,"%E0%A6%AC%E0%A7%87%E0%A6%9F%E0%A7%81%E0%A6%AA%E0%A6%BE%E0%A6%A4"
"as",-2.0,"%E0%A6%86%E0%A6%AB%E0%A7%8D%E0%A7%B0%E0%A6%BF%E0%A6%95%E0%A6%BE"
"as",-1.0,"%25E0%25A6%25AC%25E0%25A7%2587%25E0%25A6%259F%25E0%25A7%2581%25E0%25A6%25AA%25E0%25A6%25BE%25E0%25A6%25A4"
"ast",-30.0,"ast"
"ast",-17.0,"Portada"
"ast",-8.0,"Kim_Yong_Il"
"ast",-6.0,"YouTube"
"ast",-4.0,"Avientu"
"ast",-3.0,"10_d%27avientu"
"ast",-2.0,"11_d%27avientu"
"ast",-1.0,"%C3%91ocla"
"av",-3.0,"%D0%91%D0%B5%D1%82I%D0%B5%D1%80%D0%B0%D0%B1_%D0%B3%D1%8C%D1%83%D0%BC%D0%B5%D1%80"
"av",-2.0,"%D0%A2%D0%B0%D0%B8%D0%BB%D0%B0%D0%BD%D0%B4"
"av",-1.0,"%D0%90%D0%BB%D1%8C-%D0%9B%D0%B0%D1%82%D3%80%D0%B8%D1%84%D1%83"
"ay",-10.0,"Nayriri_u%C3%B1stawi"
"ay",-5.0,"ay"
"ay",-2.0,".br"
"ay",-1.0,"%E0%AE%A8%E0%AF%80%E0%AE%B2%E0%AE%AE%E0%AF%8D"
"az",-327.0,"az"
"az",-204.0,"setup.php"
"az",-46.0,"Ana_S%C9%99hif%C9%99"
"az",-15.0,"Abbasil%25C9%2599r"
"az",-12.0,"Az%C9%99rbaycan_%C5%9Fair_v%C9%99_yaz%C4%B1%C3%A7%C4%B1lar%C4%B1"
"az",-9.0,"1995-ci_il_filml%C9%99ri"
"az",-7.0,"s%C4%B1%C4%9F%C4%B1r%C3%A7%C4%B1n"
"az",-6.0,"Adil_Qas%C4%B1mov"
"az",-5.0,"Amerika_Birl%C9%99%C5%9Fmi%C5%9F_%C5%9Etatlar%C4%B1"
"az",-4.0,"Abbas_Arazl%C4%B1"
"az",-3.0,"%C5%9Eabran_rayonu"
"az",-2.0,"%22Az%C9%99rbaycan_Bayra%C4%9F%C4%B1%22_ordeni"
"az",-1.0,"%22%C4%B0stiqlal%22_ordeni"
"ba",-10.0,"%D0%91%D0%B0%D1%88_%D0%B1%D0%B8%D1%82"
"ba",-4.0,"%D0%AF%D2%A3%D1%8B_%D0%B9%D1%8B%D0%BB"
"ba",-3.0,"2011_%D0%B9%D1%8B%D0%BB"
"ba",-2.0,"%D0%95%D0%B2%D1%80%D0%BE%D0%BF%D0%B0"
"ba",-1.0,"%22%D0%A3%D1%80%D0%B0%D0%BB%22_(%D1%81%D0%BE%D1%86%D0%B8%D0%B0%D0%BB%D1%8C-%D0%B4%D0%B5%D0%BC%D0%BE%D0%BA%D1%80%D0%B0%D1%82%D0%B8%D0%BA_%D0%B3%D3%99%D0%B7%D0%B8%D1%82)"
"bar",-97.0,"setup.php"
"bar",-14.0,"bar"
"bar",-10.0,"Hauptseitn"
"bar",-8.0,"Gschlechtsverkehr"
"bar",-3.0,"Berg_am_Laim"
"bar",-2.0,"Andy_Borg"
"bar",-1.0,"%C3%9E"
"bat-smg",-11.0,"bat-smg"
"bat-smg",-9.0,"P%C4%97rms_poslapis"
"bat-smg",-8.0,"Kim_D%C5%BEiuong_Ils"
"bat-smg",-3.0,"Groud%C4%97_31"
"bat-smg",-2.0,"1939"
"bat-smg",-1.0,"%C4%8Cek%C4%97j%C4%97"
"bcl",-65.0,"setup.php"
"bcl",-11.0,"bcl"
"bcl",-8.0,"Kim_Jung-Il"
"bcl",-6.0,"Pangenot_na_Pahina"
"bcl",-3.0,"Desyembre"
"bcl",-2.0,"Agosto_3"
"bcl",-1.0,"1514"
"be",-25.0,"%D0%93%D0%B0%D0%BB%D0%BE%D1%9E%D0%BD%D0%B0%D1%8F_%D1%81%D1%82%D0%B0%D1%80%D0%BE%D0%BD%D0%BA%D0%B0"
"be",-21.0,"be"
"be",-8.0,"%D0%9A%D1%96%D0%BC_%D0%A7%D1%8D%D0%BD_%D0%86%D1%80"
"be",-7.0,"%D0%A1%D1%8F%D1%80%D0%B3%D0%B5%D0%B9_%D0%A8%D1%83%D0%BF%D0%B0"
"be",-5.0,"%D0%A5%D0%B0%D0%BB%D1%96%D1%84%D0%B0%D1%82_%D0%90%D0%B1%D0%B0%D1%81%D1%96%D0%B4%D0%B0%D1%9E"
"be",-4.0,"%D0%94%D0%B7%D1%96%D0%BA%D0%B0%D0%B5_%D0%BF%D0%BE%D0%BB%D0%B5"
"be",-3.0,"%D0%86%D0%BC%D1%8F_%D0%9A%D0%B0%D1%86%D1%8F%D1%80%D1%8B%D0%BD%D0%B0"
"be",-2.0,"%D0%86%D0%BD%D0%B4%D1%8B%D1%8F"
"be",-1.0,"%20%D1%83%D0%B7%D0%BE%D1%80%26%2339%3B%D0%B5_%D0%92%D0%B5%D1%82%D1%80%D0%B0%D0%B7%D1%96"
"be-x-old",-42.0,"be-x-old"
"be-x-old",-15.0,"%D0%93%D0%B0%D0%BB%D0%BE%D1%9E%D0%BD%D0%B0%D1%8F_%D1%81%D1%82%D0%B0%D1%80%D0%BE%D0%BD%D0%BA%D0%B0"
"be-x-old",-8.0,"%D0%9A%D1%96%D0%BC_%D0%A7%D1%8D%D0%BD_%D0%86%D1%80"
"be-x-old",-4.0,"%D0%86%D1%80%D0%BE%D0%BD%D1%96%D1%8F_%D0%BB%D1%91%D1%81%D1%83,_%D0%B0%D0%B1%D0%BE_%D0%97_%D0%BB%D1%91%D0%B3%D0%BA%D0%B0%D0%B9_%D0%BF%D0%B0%D1%80%D0%B0%D0%B9!"
"be-x-old",-3.0,"%D0%9B%D0%B5%D1%82%D1%83%D0%B2%D0%B0"
"be-x-old",-2.0,"%D0%81%D0%B1%D1%96%D0%B1%D0%B0%D0%B9%D1%82"
"be-x-old",-1.0,"%D0%81%D1%80%D0%B3_%D0%93%D0%B0%D0%B9%D0%B4%D1%8D%D1%80"
"beta",-9.0,"Main_Page"
"beta",-2.0,"%E9%A6%96%E9%A1%B5"
"beta",-1.0,"%D8%A2%D9%85%D9%88%D8%B2%D8%B4_%D8%AA%D9%86%D8%B8%DB%8C%D9%85_%D8%B3%DB%8C%D8%B3%D8%AA%D9%85%E2%80%8C%D9%87%D8%A7%DB%8C_%D8%AF%D8%B1%DB%8C%D8%A7%D9%81%D8%AA_%D9%85%D8%A7%D9%87%D9%88%D8%A7%D8%B1%D9%87%E2%80%8C%D8%A7%DB%8C"
"bg",-1611.0,"bg"
"bg",-316.0,"%D0%9D%D0%B0%D1%87%D0%B0%D0%BB%D0%BD%D0%B0_%D1%81%D1%82%D1%80%D0%B0%D0%BD%D0%B8%D1%86%D0%B0"
"bg",-307.0,"%D0%9A%D0%B0%D0%BC%D0%B5%D0%BB%D0%B8%D1%8F_(%D0%BF%D0%B5%D0%B2%D0%B8%D1%86%D0%B0)"
"bg",-276.0,"%D0%98%D0%B2%D0%B0%D0%BD%D0%B0"
"bg",-258.0,"%D0%9C%D0%B8%D0%BA_%D0%94%D0%B6%D0%B0%D0%B3%D1%8A%D1%80"
"bg",-221.0,"%D0%A4%D0%A1%D0%91"
"bg",-218.0,"%D0%93%D0%BB%D0%BE%D1%80%D0%B8%D1%8F"
"bg",-141.0,"%D0%A0%D0%BE%D0%BB%D0%B8%D0%BD%D0%B3_%D0%A1%D1%82%D0%BE%D1%83%D0%BD%D1%81"
"bg",-120.0,"%D0%9C%D0%B8%D1%80%D0%BE"
"bg",-99.0,"%D0%9F%D1%80%D0%B5%D1%81%D0%BB%D0%B0%D0%B2%D0%B0_(%D0%BF%D0%B5%D0%B2%D0%B8%D1%86%D0%B0)"
"bg",-91.0,"%D0%90%D0%BD%D0%B5%D0%BB%D0%B8%D1%8F"
"bg",-90.0,"%D0%93%D0%B0%D0%BB%D0%B5%D0%BD%D0%B0"
"bg",-86.0,"%D0%9A%D0%B0%D0%BB%D0%B8_(%D0%BF%D0%B5%D0%B2%D0%B8%D1%86%D0%B0)"
"bg",-84.0,"%D0%A6%D0%B2%D0%B5%D1%82%D0%B5%D0%BB%D0%B8%D0%BD%D0%B0_%D0%AF%D0%BD%D0%B5%D0%B2%D0%B0"
"bg",-80.0,"%D0%90%D0%BD%D0%B4%D1%80%D0%B5%D0%B0_(%D0%BF%D0%B5%D0%B2%D0%B8%D1%86%D0%B0)"
"bg",-74.0,"%D0%A0%D1%83%D0%BC%D0%B5%D0%BD_%D0%91%D0%BE%D1%8F%D0%B4%D0%B6%D0%B8%D0%B5%D0%B2"
"bg",-73.0,"httpwww.bflix.info/worker/init.php"
"bg",-72.0,"%D0%9B%D0%B8%D0%BB%D0%B8_%D0%98%D0%B2%D0%B0%D0%BD%D0%BE%D0%B2%D0%B0"
"bg",-69.0,"%D0%9B%D0%B5%D0%BF%D0%B0_%D0%91%D1%80%D0%B5%D0%BD%D0%B0"
"bg",-66.0,"%D0%98%D0%B2%D0%B0%D0%BD_%D0%9B%D0%B5%D1%87%D0%B5%D0%B2"
"bg",-59.0,"%D0%9C%D0%B0%D0%BB%D0%B8%D0%BD%D0%B0_(%D0%BF%D0%B5%D0%B2%D0%B8%D1%86%D0%B0)"
"bg",-55.0,"%D0%9A%D0%B0%D1%80%D0%B8Z%D0%BC%D0%B0"
"bg",-50.0,"%D0%9C%D0%B5%D0%B6%D0%B4%D1%83%D0%BD%D0%B0%D1%80%D0%BE%D0%B4%D0%BD%D0%B8_%D1%82%D0%B5%D0%BB%D0%B5%D1%84%D0%BE%D0%BD%D0%BD%D0%B8_%D0%BA%D0%BE%D0%B4%D0%BE%D0%B2%D0%B5"
"bg",-49.0,"%D0%91%D1%8A%D0%BB%D0%B3%D0%B0%D1%80%D0%B8%D1%8F"
"bg",-47.0,"%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%8A%D1%80_%D0%91%D0%B0%D1%85%D0%B0%D1%80%D0%BE%D0%B2"
"bg",-46.0,"%D0%95%D0%B7%D0%B8%D0%BA%D0%BE%D0%B2%D0%BE_%D1%81%D0%B5%D0%BC%D0%B5%D0%B9%D1%81%D1%82%D0%B2%D0%BE"
"bg",-44.0,"%D0%9C%D0%B8%D0%BC%D0%B8_%D0%98%D0%B2%D0%B0%D0%BD%D0%BE%D0%B2%D0%B0"
"bg",-43.0,"%D0%A1%D0%BF%D0%B8%D1%81%D1%8A%D0%BA_%D0%BD%D0%B0_%D1%81%D1%82%D1%80%D0%B0%D0%BD%D0%B8%D1%82%D0%B5_%D0%BF%D0%BE_%D1%82%D0%B5%D0%BB%D0%B5%D1%84%D0%BE%D0%BD%D0%B5%D0%BD_%D0%BA%D0%BE%D0%B4"
